NLE  dif_noise name  iter  K   sigmaG  tau   alpha   beta 
9.9627, 0.0373, cameraman-IMPGS-NLE-10.mat, 1, 8, 1.5, 10.5, 0.8, 0.001
15.0264, -0.026374, cameraman-IMPGS-NLE-15.mat, 1, 11, 1.5, 15, 0.8, 0.001
19.9645, 0.035529, cameraman-IMPGS-NLE-20.mat, 1, 16, 1.5, 15, 0.8, 0.001
24.9937, 0.006273, cameraman-IMPGS-NLE-25.mat, 1, 20, 1.5, 27, 0.8, 0.001
10.0666, -0.066621, fingerprint1-IMPGS-NLE-10.mat, 1, 8, 1.5, 11, 0.8, 0.001
14.2639, 0.73613, fingerprint1-IMPGS-NLE-15.mat, 1, 10, 1.5, 11, 0.8, 0.001
19.9731, 0.026889, fingerprint1-IMPGS-NLE-20.mat, 1, 8, 1.5, 11.5, 0.8, 0.001
24.8993, 0.10066, fingerprint1-IMPGS-NLE-25.mat, 1, 7, 1.5, 12.5, 0.6, 0.001
10.0023, -0.0023166, lena-IMPGS-NLE-10.mat, 1, 8, 1.5, 13, 0.8, 0.001
14.9943, 0.0057076, lena-IMPGS-NLE-15.mat, 1, 11.5, 1.5, 20, 0.8, 0.001
20.0123, -0.012287, lena-IMPGS-NLE-20.mat, 1, 15.5, 1.5, 30, 0.8, 0.001
25.0002, -0.00019909, lena-IMPGS-NLE-25.mat, 1, 20, 1.5, 35, 0.8, 0.001
10.0092, -0.0092252, mdn4_w-IMPGS-NLE-10.mat, 1, 20, 1.5, 19, 0.2, 0.001
14.9904, 0.0095567, mdn4_w-IMPGS-NLE-15.mat, 1, 20, 1.5, 34, 0.2, 0.001
19.9889, 0.011081, mdn4_w-IMPGS-NLE-20.mat, 1, 20, 1.5, 45, 0.2, 0.001
24.9737, 0.026314, mdn4_w-IMPGS-NLE-25.mat, 1, 20, 1.5, 50, 0.2, 0.001
